Temperature,n-heptane,oxygen,carbon monoxide,carbon dioxide,methane,acetylene,ethylene,ethane,propene,propane,propadiene,propyne,formaldehyde,ethylene oxide,acetaldehyde,1-butene,2-butene,"1,3-butadiene",n-butane,ethanol,propylene oxide,furan,acrolein,propanal,acetone,1-pentene,2-pentene,cyclopentene,"1,3-pentadiene",2-propen-1-ol,propan-1-ol,butenone,methyl-furan,butanal,2-butanone,1-hexene,2-butenal,acetic acid,pentanal + pentanone,benzene,dihydrofuran,3-heptene,2-heptene,1-heptene,2-hexanone,propanoic acid,2-ethyl-5-methyl-furan,2-methyl-dihydrofuranone,sum of cyclic ether with 5 atoms,sum of cyclic ether with 4 atoms,sum of cyclic ether with 3 atoms,2methanol-5methyl-tetrahydrofuranone,heptanone
500,5.06E-03,1.43E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.72E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
525,5.04E-03,1.41E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.72E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
550,4.94E-03,1.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
575,4.53E-03,1.40E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.95E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.29E-06,1.45E-06,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.89E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
600,3.91E-03,1.19E-02,2.01E-04,0.00E+00,1.90E-06,0.00E+00,3.91E-05,0.00E+00,2.94E-05,0.00E+00,0.00E+00,0.00E+00,1.42E-04,3.54E-06,2.29E-04,1.33E-05,0.00E+00,3.37E-07,0.00E+00,1.93E-06,9.06E-07,1.09E-06,9.81E-06,3.31E-04,1.68E-05,6.79E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.99E-06,2.74E-06,3.76E-05,1.31E-05,6.05E-07,4.99E-06,9.48E-05,1.88E-05,4.58E-09,9.47E-07,3.76E-05,1.71E-05,6.27E-06,7.23E-07,7.42E-06,0.00E+00,0.00E+00,2.39E-04,9.59E-05,2.21E-05,3.29E-06,1.01E-05
625,4.04E-03,1.18E-02,3.10E-04,5.91E-05,3.50E-06,0.00E+00,8.54E-05,6.92E-07,6.30E-05,0.00E+00,0.00E+00,0.00E+00,2.26E-04,3.66E-06,2.91E-04,3.05E-05,4.04E-07,1.05E-06,5.43E-07,2.08E-06,2.37E-06,1.93E-06,2.13E-05,4.18E-04,1.38E-05,1.65E-05,4.14E-07,2.95E-07,3.02E-07,0.00E+00,0.00E+00,7.49E-06,4.19E-06,5.04E-05,1.06E-05,1.58E-06,7.24E-06,3.28E-05,1.23E-05,4.58E-09,6.98E-07,5.91E-05,2.74E-05,1.04E-05,9.25E-07,5.64E-06,0.00E+00,0.00E+00,2.67E-04,1.09E-04,2.02E-05,3.02E-06,9.15E-06
650,4.53E-03,1.34E-02,7.77E-05,0.00E+00,2.62E-06,0.00E+00,3.91E-05,0.00E+00,3.36E-05,0.00E+00,0.00E+00,0.00E+00,2.89E-05,0.00E+00,9.38E-05,2.10E-05,0.00E+00,1.01E-06,3.98E-07,0.00E+00,1.36E-06,1.19E-06,8.10E-06,1.67E-04,4.15E-06,1.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E-06,2.20E-05,2.01E-06,1.60E-06,1.65E-06,0.00E+00,4.34E-06,4.58E-09,0.00E+00,3.86E-05,1.84E-05,7.31E-06,5.20E-07,1.38E-06,0.00E+00,0.00E+00,1.51E-04,6.72E-05,8.45E-06,1.77E-06,5.30E-06
675,5.04E-03,1.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.15E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
700,4.96E-03,1.39E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.14E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
725,4.97E-03,1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
750,4.97E-03,1.42E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-06,0.00E+00,1.03E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-06,8.07E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
775,4.93E-03,1.39E-02,0.00E+00,0.00E+00,2.33E-06,0.00E+00,8.42E-06,0.00E+00,5.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.43E-06,3.63E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.45E-06,0.00E+00,2.39E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.83E-07,0.00E+00,6.05E-07,0.00E+00,0.00E+00,0.00E+00,4.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
800,4.73E-03,1.38E-02,0.00E+00,0.00E+00,1.46E-05,0.00E+00,4.81E-05,0.00E+00,2.22E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-06,1.75E-05,0.00E+00,4.21E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E-05,0.00E+00,1.03E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E-06,0.00E+00,3.49E-06,0.00E+00,0.00E+00,7.24E-07,4.58E-09,0.00E+00,2.92E-06,1.67E-06,2.09E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00
825,4.56E-03,1.36E-02,0.00E+00,0.00E+00,6.78E-05,0.00E+00,2.73E-04,3.67E-06,1.08E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.36E-06,1.49E-05,8.72E-05,0.00E+00,3.37E-06,6.51E-07,0.00E+00,5.03E-07,0.00E+00,2.07E-06,2.47E-05,0.00E+00,4.64E-05,5.02E-07,4.14E-07,4.83E-07,8.81E-07,0.00E+00,0.00E+00,1.18E-06,2.85E-06,0.00E+00,1.74E-05,0.00E+00,0.00E+00,1.45E-06,4.58E-09,0.00E+00,5.64E-06,3.55E-06,6.27E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00
850,4.02E-03,1.34E-02,1.20E-04,0.00E+00,2.62E-04,1.31E-07,1.12E-03,2.35E-05,4.01E-04,3.78E-06,0.00E+00,0.00E+00,7.22E-05,9.45E-06,4.69E-05,2.80E-04,1.37E-06,2.10E-05,1.95E-06,0.00E+00,1.31E-06,0.00E+00,1.25E-05,5.41E-05,0.00E+00,1.32E-04,1.65E-06,1.71E-06,2.20E-06,2.64E-06,0.00E+00,0.00E+00,1.64E-06,4.83E-06,1.76E-06,5.74E-05,2.50E-06,0.00E+00,2.53E-06,7.69E-08,0.00E+00,9.61E-06,6.27E-06,1.46E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.99E-06,0.00E+00,4.75E-07,0.00E+00,0.00E+00
